"Rank","Player","Team","Position","Points","Games","Avg"
"589","Pierre Strong Jr.","NE","RB","0.5","6","0.1"
"589","Kevin Harris","NE","RB","0.5","1","0.5"
"591","Duke Johnson Jr.","BUF","RB","0.4","1","0.4"
"591","Ihmir Smith-Marsette","CHI","WR","0.4","4","0.1"
"593","Case Keenum","BUF","QB","0.3","2","0.2"
"594","Damien Williams","ATL","RB","0.2","1","0.2"
"595","Jordan Howard","NO","RB","0.1","1","0.1"
"596","Alex Erickson","WAS","WR","0.0","1","0.0"
"596","Marken Michel","WAS","WR","0.0","1","0.0"
"596","Beau Brinkley","ATL","TE","0.0","1","0.0"
"596","Chris Pierce Jr.","ARI","TE","0.0","1","0.0"
"596","Pharoh Cooper","ARI","WR","0.0","1","0.0"
"596","Sandro Platzgummer","NYG","RB","0.0","1","0.0"
"596","Jashaun Corbin","NYG","RB","0.0","1","0.0"
"596","Larry Rountree III","LAC","RB","0.0","1","0.0"
"596","Trinity Benson","DET","WR","0.0","1","0.0"
"596","Jeremy Ruckert","NYJ","TE","0.0","1","0.0"
"596","Josh Gordon","TEN","WR","0.0","1","0.0"
"596","Alex Bachman","HOU","WR","0.0","1","0.0"
"596","Chase Daniel","LAC","QB","0.0","1","0.0"
"596","C.J. Board","TEN","WR","0.0","3","0.0"
"596","Stanley Berryhill III","DET","WR","0.0","1","0.0"
"596","Britain Covey","PHI","WR","0.0","11","0.0"
"596","Matt Corral","CAR","QB","0.0","1","0.0"
"596","Royce Freeman","HOU","RB","0.0","1","0.0"
"596","Giovani Bernard","TB","RB","0.0","1","0.0"
"596","Jerome Ford","CLE","RB","0.0","7","0.0"
"596","Stanley Morgan Jr.","CIN","WR","0.0","6","0.0"
"596","Matt Barkley","BUF","QB","0.0","1","0.0"
"596","Brandin Bryant","BUF","RB","0.0","2","0.0"
"596","Taiwan Jones","BUF","RB","0.0","3","0.0"
"596","Kenny Yeboah","NYJ","TE","0.0","1","0.0"
"596","Tyree Jackson","PHI","TE","0.0","1","0.0"
"596","Quinton Bell","ATL","WR","0.0","2","0.0"
"596","Ramiz Ahmed","GB","K","0.0","1","0.0"
"596","Brittain Brown","LV","RB","0.0","1","0.0"
"596","Ben Mason","BAL","RB","0.0","1","0.0"
"596","Nick Boyle","BAL","TE","0.0","1","0.0"
"596","Justin Hardee","NYJ","WR","0.0","9","0.0"
"596","John Lovett","FA","RB","0.0","1","0.0"
"596","Binjimen Victor","BAL","WR","0.0","1","0.0"
"596","Danny Gray","SF","WR","0.0","3","0.0"
"596","Feleipe Franks","ATL","QB","0.0","3","0.0"
"596","Jake Funk","LAR","RB","0.0","1","0.0"
"596","J.P. Holtz","NO","TE","0.0","1","0.0"
"596","Devin Asiasi","CIN","TE","0.0","4","0.0"
"596","Charlie Woerner","SF","TE","0.0","4","0.0"
"596","Justyn Ross","KC","WR","0.0","2","0.0"
"596","Matthew Slater","NE","WR","0.0","3","0.0"
"596","Malik Turner","SF","WR","0.0","2","0.0"
"596","Quinn Nordin","NE","K","0.0","2","0.0"
"596","Marcus Kemp","KC","WR","0.0","2","0.0"
"596","Patrick Taylor Jr.","GB","RB","0.0","3","0.0"
"596","Cullen Gillaspia","SEA","RB","0.0","4","0.0"
"596","James Winchester","KC","TE","0.0","2","0.0"
"596","Ty Chandler","MIN","RB","0.0","1","0.0"
"596","Rico Dowdle","DAL","RB","0.0","2","0.0"
"596","Kevin Rader","TEN","TE","0.0","3","0.0"
"596","Jonathan Ward","ARI","RB","0.0","1","0.0"
"596","Tanner Gentry","BUF","WR","0.0","1","0.0"
"596","Dan Chisena","MIN","WR","0.0","2","0.0"
"596","Tanner Conner","MIA","WR","0.0","2","0.0"
"596","Logan Woodside","TEN","QB","0.0","1","0.0"
"596","Kenjon Barner","FA","RB","0.0","1","0.0"
"596","Raleigh Webb","Multi","WR","0.0","1","0.0"
"596","Andre Roberts","CAR","WR","0.0","1","0.0"
"596","Jermar Jefferson","DET","RB","0.0","1","0.0"
"596","Brandon Zylstra","DET","WR","0.0","1","0.0"
"596","Rashard Higgins","CAR","WR","0.0","1","0.0"
"596","Albert Wilson","LV","WR","0.0","2","0.0"
"596","Khari Blasingame","CHI","RB","0.0","3","0.0"
"596","Chris Conley","Multi","WR","0.0","2","0.0"
"596","Trenton Cannon","TEN","RB","0.0","1","0.0"
"596","La'Mical Perine","MIA","RB","0.0","1","0.0"
"596","Hunter Long","MIA","TE","0.0","3","0.0"
"596","Qadree Ollison","DAL","RB","0.0","2","0.0"
"596","Dareke Young","SEA","WR","0.0","2","0.0"
"596","Miller Forristall","CLE","TE","0.0","1","0.0"
"596","Austin Allen","FA","TE","0.0","2","0.0"
"596","Jake Tonges","CHI","TE","0.0","1","0.0"
"596","Jared Pinkney","LAR","TE","0.0","2","0.0"
"596","Cody Thompson","SEA","WR","0.0","1","0.0"
"596","Noah Togiai","PHI","TE","0.0","1","0.0"
"596","Lance McCutcheon","LAR","WR","0.0","1","0.0"
"673","C.J. Beathard","JAC","QB","-0.1","1","-0.1"
"674","Chad Henne","KC","QB","-0.3","2","-0.2"
"675","Chester Rogers","CLE","WR","-2.0","3","-0.7"
""
""
