"Rank","Player","Team","Bye","POS","ESPN","RTSports","MFL","Fantrax","FFC","Sleeper","AVG"
"171","Robbie Gould","SF","11","K9","187","185","214","199","187","","194.4"
"172","Mohamed Sanu Sr.","","","WR63","130","204","149","149","","","158.0"
"173","Austin Seferian-Jenkins","","","TE16","161","143","185","156","","","161.3"
"174","Dez Bryant ","","","WR64","173","189","169","115","","","161.5"
"175","Rishard Matthews","","","WR65","175","186","167","125","","","163.3"
"176","New Orleans Saints","DST","6","DST9","174","157","175","","151","","164.3"
"177","Jameis Winston","NO","6 ","QB22","","171","166","159","162","","164.5"
"178","Matt Prater","ARI","9","K10","190","201","224","210","186","","202.2"
"179","DeSean Jackson","BAL","10","WR66","184","192","161","136","","","168.3"
"180","Dede Westbrook","GB","7","WR67","","148","186","184","156","","168.5"
"181","Chicago Bears","DST","5","DST10","152","188","187","","152","","169.8"
"182","Jared Cook","","","TE17","148","197","174","165","","","171.0"
"183","Paul Richardson Jr. ","","","WR68","142","172","217","154","","","171.3"
"184","New England Patriots","DST","11","DST11","134","175","206","","172","","171.8"
"185","Pittsburgh Steelers","DST","7","DST12","145","179","197","","180","","175.3"
"186","Mason Crosby","GB","7","K11","179","226","244","212","185","","209.2"
"187","Eric Ebron","","","TE18","","195","171","168","168","","175.5"
"188","Cameron Brate","TB","5","TE19","169","181","207","146","","","175.8"
"189","Eli Manning","","","QB23","","193","181","169","163","","176.5"
"190","Austin Ekeler","LAC","8","RB57","","159","192","189","173","","178.3"
"191","Carolina Panthers","DST","4","DST13","182","194","162","","179","","179.3"
"192","Charles Clay","","","TE20","139","202","203","174","","","179.5"
"193","Benjamin Watson","","","TE21","143","208","222","176","","","187.3"
"194","Geronimo Allison ","","","WR69","","207","193","217","146","","190.8"
"195","Tyrod Taylor","NYG","9","QB24","138","238","215","196","","","196.8"
"196","Ricky Seals-Jones","","","TE22","","220","225","188","161","","198.5"
"197","Arizona Cardinals","DST","9","DST14","166","222","231","","178","","199.3"
"198","Marqise Lee ","","","WR70","","203","158","107","","","156.0"
