"Rank","Player","Team","Position","Points","Games","Avg"
"63","Miles Sanders","PHI","RB","218.7","16","13.7"
"64","Andy Dalton","CIN","QB","217.5","13","16.7"
"65","A.J. Brown","TEN","WR","217.1","16","13.6"
"66","Zach Ertz","PHI","TE","215.6","15","14.4"
"67","Le'Veon Bell","NYJ","RB","215.0","15","14.3"
"68","Kenyan Drake","Multi","RB","214.2","14","15.3"
"69","Mitch Trubisky","CHI","QB","212.8","15","14.2"
"70","Michael Gallup","DAL","WR","212.7","14","15.2"
"71","Davante Adams","GB","WR","212.7","12","17.7"
"72","Stefon Diggs","MIN","WR","212.1","15","14.1"
"73","Mark Andrews","BAL","TE","207.2","15","13.8"
"74","Sam Darnold","NYJ","QB","202.1","13","15.6"
"75","Odell Beckham Jr.","CLE","WR","201.3","16","12.6"
"76","James White","NE","RB","200.2","15","13.4"
"77","Jamison Crowder","NYJ","WR","197.7","16","12.4"
"77","Phillip Lindsay","DEN","RB","197.7","16","12.4"
"79","Devonta Freeman","ATL","RB","197.6","14","14.1"
"80","Calvin Ridley","ATL","WR","197.0","13","15.2"
"81","Marvin Jones Jr.","DET","WR","193.9","13","14.9"
"82","Kyle Allen","CAR","QB","193.4","14","13.8"
"83","Terry McLaurin","WAS","WR","191.9","14","13.7"
"84","Austin Hooper","ATL","TE","191.7","13","14.8"
"85","Josh Jacobs","LV","RB","191.6","13","14.7"
"86","Emmanuel Sanders","Multi","WR","190.3","17","11.2"
"87","Deebo Samuel","SF","WR","189.1","15","12.6"
"88","Tyreek Hill","KC","WR","188.3","12","15.7"
"89","DK Metcalf","SEA","WR","187.1","16","11.7"
"90","Cole Beasley","BUF","WR","184.8","15","12.3"
"91","Marlon Mack","IND","RB","181.3","14","13.0"
"92","Pittsburgh Steelers","PIT","DST","181.0","16","11.3"
"93","Melvin Gordon III","LAC","RB","180.8","12","15.1"
"94","Larry Fitzgerald","ARI","WR","177.4","16","11.1"
"95","Curtis Samuel","CAR","WR","171.7","16","10.7"
"96","Matthew Stafford","DET","QB","171.5","8","21.4"
"97","David Montgomery","CHI","RB","170.4","16","10.7"
"98","Darius Slayton","NYG","WR","170.0","14","12.1"
"99","Christian Kirk","ARI","WR","168.2","13","12.9"
"100","Jared Cook","NO","TE","167.5","14","12.0"
"101","Ronald Jones II","TB","RB","166.3","16","10.4"
"102","Harrison Butker","KC","K","166.0","16","10.4"
"103","Raheem Mostert","SF","RB","165.2","16","10.3"
"104","Tarik Cohen","CHI","RB","163.9","16","10.2"
"105","Diontae Johnson","PIT","WR","163.1","16","10.2"
"106","San Francisco 49ers","SF","DST","163.0","16","10.2"
"106","Wil Lutz","NO","K","163.0","16","10.2"
"108","Robbie Anderson","NYJ","WR","162.3","16","10.1"
"109","Mike Williams","LAC","WR","161.3","15","10.8"
"110","Tyler Higbee","LAR","TE","160.4","15","10.7"
"111","Latavius Murray","NO","RB","157.2","16","9.8"
"112","Dede Westbrook","JAC","WR","156.7","15","10.5"
"113","Chris Conley","JAC","WR","156.5","16","9.8"
"114","Randall Cobb","DAL","WR","154.9","15","10.3"
"115","Duke Johnson Jr.","HOU","RB","154.0","16","9.6"
"116","Carlos Hyde","HOU","RB","153.2","16","9.6"
"117","Justin Tucker","BAL","K","153.0","16","9.6"
"117","Baltimore Ravens","BAL","DST","153.0","16","9.6"
"119","Sony Michel","NE","RB","152.6","16","9.5"
"120","Golden Tate","NYG","WR","152.2","11","13.8"
"121","Hunter Henry","LAC","TE","150.2","12","12.5"
"122","Kansas City Chiefs","KC","DST","148.0","16","9.3"
"123","Devin Singletary","BUF","RB","147.9","12","12.3"
"124","Adrian Peterson","WAS","RB","147.0","16","9.2"
"125","Marquise Brown","BAL","WR","146.4","14","10.5"
"126","Los Angeles Rams","LAR","DST","146.0","16","9.1"
"127","Jamaal Williams","GB","RB","145.9","14","10.4"
"128","James Conner","PIT","RB","145.5","10","14.6"
"129","Matt Gay","TB","K","145.0","16","9.1"
"130","Dallas Goedert","PHI","TE","144.7","15","9.7"
"131","Minnesota Vikings","MIN","DST","144.0","16","9.0"
"132","Tyrell Williams","LV","WR","143.1","14","10.2"
"133","New Orleans Saints","NO","DST","143.0","16","8.9"
"134","Royce Freeman","DEN","RB","142.2","16","8.9"
"135","Sterling Shepard","NYG","WR","141.8","10","14.2"
"136","David Johnson","ARI","RB","141.5","13","10.9"
"137","Damien Williams","KC","RB","141.1","11","12.8"
"138","Danny Amendola","DET","WR","140.6","15","9.4"
"139","Jason Witten","DAL","TE","139.9","16","8.7"
"140","Sammy Watkins","KC","WR","138.5","14","9.9"
"141","Breshad Perriman","TB","WR","138.1","14","9.9"
"142","Buffalo Bills","BUF","DST","137.0","16","8.6"
"143","Zane Gonzalez","ARI","K","136.0","16","8.5"
"143","Mike Gesicki","MIA","TE","136.0","16","8.5"
"145","Tevin Coleman","SF","RB","135.4","14","9.7"
"146","Zach Pascal","IND","WR","135.3","16","8.5"
"147","William Fuller V","HOU","WR","134.0","11","12.2"
"147","Tampa Bay Buccaneers","TB","DST","134.0","16","8.4"
"147","Josh Lambo","JAC","K","134.0","16","8.4"
"150","James Washington","PIT","WR","133.5","15","8.9"
"151","Hunter Renfrow","LV","WR","133.5","13","10.3"
"152","New York Jets","NYJ","DST","133.0","16","8.3"
"152","Matt Prater","DET","K","133.0","16","8.3"
"152","Tennessee Titans","TEN","DST","133.0","16","8.3"
"155","Dan Bailey","MIN","K","132.0","16","8.3"
"156","Brandon McManus","DEN","K","131.0","16","8.2"
"157","Greg Zuerlein","LAR","K","129.0","16","8.1"
"158","Anthony Miller","CHI","WR","127.5","16","8.0"
"159","Indianapolis Colts","IND","DST","127.0","16","7.9"
"160","Chris Boswell","PIT","K","126.0","16","7.9"
"161","T.Y. Hilton","IND","WR","125.1","10","12.5"
"162","Mohamed Sanu Sr.","Multi","WR","124.1","15","8.3"
"163","Seattle Seahawks","SEA","DST","124.0","16","7.8"
"164","Greg Olsen","CAR","TE","123.7","14","8.8"
"165","Alshon Jeffery","PHI","WR","122.2","10","12.2"
"166","DeAndre Washington","LV","RB","121.9","16","7.6"
"167","Kenny Stills","HOU","WR","120.1","13","9.2"
"168","Mecole Hardman","KC","WR","119.5","16","7.5"
"169","Joey Slye","CAR","K","119.0","16","7.4"
"170","LeSean McCoy","KC","RB","118.6","13","9.1"
"171","Nyheim Hines","IND","RB","117.9","16","7.4"
"172","Mason Rudolph","PIT","QB","117.8","10","11.8"
"173","Brandin Cooks","LAR","WR","117.5","14","8.4"
"174","Randy Bullock","CIN","K","117.0","16","7.3"
"174","Jason Myers","SEA","K","117.0","16","7.3"
"176","Peyton Barber","TB","RB","116.5","16","7.3"
"177","Jason Sanders","MIA","K","116.1","16","7.3"
"178","Austin Seibert","CLE","K","116.0","16","7.3"
"178","Robbie Gould","SF","K","116.0","13","8.9"
"180","Corey Davis","TEN","WR","115.1","15","7.7"
"181","Mason Crosby","GB","K","115.0","16","7.2"
"182","Adam Thielen","MIN","WR","114.4","10","11.4"
"183","Kyle Rudolph","MIN","TE","113.7","16","7.1"
"184","JuJu Smith-Schuster","PIT","WR","113.2","12","9.4"
"185","Philadelphia Eagles","PHI","DST","113.0","16","7.1"
"186","Jack Doyle","IND","TE","111.8","16","7.0"
"187","Jordan Howard","PHI","RB","111.4","10","11.1"
"188","Noah Fant","DEN","TE","111.0","16","6.9"
"189","Darren Fells","HOU","TE","110.1","16","6.9"
"190","Green Bay Packers","GB","DST","110.0","16","6.9"
"190","Ka'imi Fairbairn","HOU","K","110.0","16","6.9"
"192","Steven Sims Jr.","WAS","WR","109.5","16","6.8"
"193","Evan Engram","NYG","TE","109.4","8","13.7"
"194","Jake Elliott","PHI","K","109.0","16","6.8"
"195","Case Keenum","WAS","QB","108.4","10","10.8"
"196","Dustin Hopkins","WAS","K","108.0","16","6.8"
"197","Tyler Eifert","CIN","TE","106.6","16","6.7"
"198","Jaylen Samuels","PIT","RB","105.4","14","7.5"
"199","Brett Maher","DAL","K","105.0","13","8.1"
"200","Jonnu Smith","TEN","TE","104.7","16","6.5"
"201","Matt Breida","SF","RB","103.3","13","8.0"
"202","Jacksonville Jaguars","JAC","DST","103.0","16","6.4"
"202","Stephen Hauschka","BUF","K","103.0","16","6.4"
"202","Eddy Pineiro","CHI","K","103.0","16","6.4"
"205","Allen Lazard","GB","WR","102.8","16","6.4"
"206","Taysom Hill","NO","TE","102.2","16","6.4"
"207","Chicago Bears","CHI","DST","102.0","16","6.4"
"208","Auden Tate","CIN","WR","101.5","13","7.8"
"209","Kareem Hunt","CLE","RB","101.4","9","11.3"
"210","Rex Burkhead","NE","RB","101.1","13","7.8"
"211","Denver Broncos","DEN","DST","101.0","16","6.3"
"212","Demarcus Robinson","KC","WR","100.9","16","6.3"
"213","Phillip Dorsett II","NE","WR","100.8","14","7.2"
"214","Jimmy Graham","GB","TE","100.7","16","6.3"
"215","Dallas Cowboys","DAL","DST","99.0","16","6.2"
"216","Russell Gage","ATL","WR","98.8","16","6.2"
"217","Atlanta Falcons","ATL","DST","98.0","16","6.1"
"217","Ryan Griffin","NYJ","TE","98.0","13","7.5"
"219","Kendrick Bourne","SF","WR","97.8","16","6.1"
"220","Daniel Carlson","LV","K","97.0","16","6.1"
"221","Boston Scott","PHI","RB","96.9","11","8.8"
"222","Alex Erickson","CIN","WR","96.2","16","6.0"
"223","Willie Snead IV","BAL","WR","95.1","16","5.9"
"224","Carolina Panthers","CAR","DST","95.0","16","5.9"
"224","John Ross","CIN","WR","95.0","8","11.9"
"226","Frank Gore","BUF","RB","94.9","16","5.9"
"227","Nelson Agholor","PHI","WR","94.0","11","8.6"
"227","Houston Texans","HOU","DST","94.0","16","5.9"
"227","Washington Commanders","WAS","DST","94.0","16","5.9"
"230","Jacob Hollister","SEA","TE","93.9","11","8.5"
"231","Chris Thompson","WAS","RB","93.6","11","8.5"
"232","Younghoe Koo","Multi","K","93.0","8","11.6"
"232","Sam Ficken","NYJ","K","93.0","15","6.2"
"234","Gus Edwards","BAL","RB","92.6","16","5.8"
"235","Teddy Bridgewater","NO","QB","92.5","10","9.3"
"236","Cameron Brate","TB","TE","91.1","16","5.7"
"237","Cleveland Browns","CLE","DST","91.0","16","5.7"
"237","Chase McLaughlin","Multi","K","91.0","11","8.3"
"239","Preston Williams","MIA","WR","90.8","8","11.4"
"240","Taylor Gabriel","CHI","WR","90.3","9","10.0"
"241","Joe Flacco","DEN","QB","89.9","8","11.2"
"242","Jordan Akins","HOU","TE","89.8","16","5.6"
"243","Gerald Everett","LAR","TE","89.8","13","6.9"
"244","Albert Wilson","MIA","WR","89.4","13","6.9"
"245","Tony Pollard","DAL","RB","89.2","15","6.0"
"246","Marcus Mariota","TEN","QB","87.1","7","12.4"
"247","Adam Humphries","TEN","WR","86.5","12","7.2"
"247","Eric Ebron","IND","TE","86.5","11","7.9"
"249","New York Giants","NYG","DST","86.0","16","5.4"
"250","Ted Ginn Jr.","NO","WR","85.9","16","5.4"
"251","Blake Jarwin","DAL","TE","85.5","16","5.3"
"252","Demaryius Thomas","Multi","WR","85.3","11","7.8"
"253","Kerryon Johnson","DET","RB","85.0","8","10.6"
"254","O.J. Howard","TB","TE","83.9","14","6.0"
"255","J.D. McKissic","DET","RB","83.8","16","5.2"
"256","Dwayne Haskins","WAS","QB","83.7","9","9.3"
"257","Allen Hurns","MIA","WR","83.6","14","6.0"
"258","Vance McDonald","PIT","TE","83.5","14","6.0"
"259","Marquez Valdes-Scantling","GB","WR","83.3","16","5.2"
"260","Chase Edmonds","ARI","RB","82.8","13","6.4"
"260","Jalen Richard","LV","RB","82.8","16","5.2"
"262","Tajae Sharpe","TEN","WR","81.9","15","5.5"
"263","Los Angeles Chargers","LAC","DST","81.0","16","5.1"
"264","T.J. Hockenson","DET","TE","80.7","12","6.7"
"265","Adam Vinatieri","IND","K","80.0","12","6.7"
"266","Dawson Knox","BUF","TE","79.7","15","5.3"
"267","Irv Smith Jr.","MIN","TE","79.1","16","4.9"
"268","Bisi Johnson","MIN","WR","79.0","16","4.9"
"269","Keelan Cole Sr.","JAC","WR","78.7","16","4.9"
"270","Detroit Lions","DET","DST","78.0","16","4.9"
"271","Hayden Hurst","BAL","TE","76.9","16","4.8"
"272","Kaden Smith","Multi","TE","75.8","9","8.4"
"273","Geronimo Allison","GB","WR","75.4","16","4.7"
"274","Dare Ogunbowale","TB","RB","75.3","16","4.7"
"275","Rashaad Penny","SEA","RB","75.3","10","7.5"
"276","Nick Boyle","BAL","TE","75.1","16","4.7"
"277","Josh Gordon","Multi","WR","74.7","11","6.8"
"278","Will Dissly","SEA","TE","73.9","6","12.3"
"279","Aldrick Rosas","NYG","K","72.0","16","4.5"
"280","Damiere Byrd","ARI","WR","71.9","11","6.5"
"281","Tre'Quan Smith","NO","WR","71.4","11","6.5"
"282","Drew Lock","DEN","QB","71.1","5","14.2"
"283","Las Vegas Raiders","LV","DST","70.0","16","4.4"
"284","Alexander Mattison","MIN","RB","68.4","13","5.3"
"284","Foster Moreau","LV","TE","68.4","13","5.3"
"284","Giovani Bernard","CIN","RB","68.4","16","4.3"
"287","Patrick Laird","MIA","RB","68.2","15","4.6"
"288","Arizona Cardinals","ARI","DST","68.0","16","4.3"
"289","Darrel Williams","KC","RB","67.8","12","5.7"
"290","Brian Hill","ATL","RB","67.2","12","5.6"
"291","Cincinnati Bengals","CIN","DST","67.0","16","4.2"
"292","Kelvin Harmon","WAS","WR","66.9","16","4.2"
"293","Dion Lewis","TEN","RB","66.4","16","4.2"
"294","Cody Latimer","NYG","WR","66.0","15","4.4"
"295","Josh Hill","NO","TE","65.6","16","4.1"
"296","Paul Richardson Jr.","WAS","WR","64.5","10","6.5"
"297","Michael Badgley","LAC","K","64.0","9","7.1"
"298","DaeSean Hamilton","DEN","WR","63.7","16","4.0"
"299","Isaiah McKenzie","BUF","WR","63.3","15","4.2"
"300","C.J. Uzomah","CIN","TE","63.2","16","4.0"
"301","Jeff Driskel","Multi","QB","62.2","4","15.6"
"302","Josh Reynolds","LAR","WR","61.9","16","3.9"
"302","Jakobi Meyers","NE","WR","61.9","15","4.1"
"304","David Blough","DET","QB","61.4","5","12.3"
"305","Ty Johnson","DET","RB","60.2","16","3.8"
"306","Seth Roberts","BAL","WR","60.1","16","3.8"
"307","Nick Folk","NE","K","60.0","7","8.6"
"308","Greg Ward","PHI","WR","59.9","7","8.6"
"309","David Moore","SEA","WR","59.6","15","4.0"
"310","Devlin Hodges","PIT","QB","59.4","8","7.4"
"311","Eli Manning","NYG","QB","59.3","4","14.8"
"312","Malcolm Brown","LAR","RB","59.1","14","4.2"
"313","Ricky Seals-Jones","CLE","TE","58.9","14","4.2"
"314","Benny Snell Jr.","PIT","RB","57.9","13","4.5"
"315","Derrius Guice","WAS","RB","57.4","5","11.5"
"316","Jarius Wright","CAR","WR","56.9","16","3.6"
"317","Marcus Johnson","IND","WR","56.7","9","6.3"
"318","Jeremy Sprinkle","WAS","TE","56.1","16","3.5"
"319","Pharoh Cooper","Multi","WR","55.5","13","4.3"
"320","Delanie Walker","TEN","TE","54.5","7","7.8"
"321","Jordan Wilkins","IND","RB","54.0","14","3.9"
"322","Kai Forbath","Multi","K","53.0","5","10.6"
"323","Keke Coutee","HOU","WR","52.8","10","5.3"
"324","Kalen Ballage","MIA","RB","51.8","12","4.3"
"325","Trey Quinn","WAS","WR","51.8","12","4.3"
"326","Ryquell Armstead","JAC","RB","51.2","16","3.2"
"327","Brandon Bolden","NE","RB","50.9","15","3.4"
"328","Miles Boykin","BAL","WR","50.8","16","3.2"
"329","Kyle Juszczyk","SF","RB","50.6","12","4.2"
"330","Mike Boone","MIN","RB","50.0","16","3.1"
"330","Miami Dolphins","MIA","DST","50.0","16","3.1"
"332","Demetrius Harris","CLE","TE","49.9","15","3.3"
"333","Justice Hill","BAL","RB","49.5","16","3.1"
"334","Zay Jones","Multi","WR","48.9","15","3.3"
"335","Vyncint Smith","Multi","WR","48.7","14","3.5"
"336","Isaiah Ford","MIA","WR","48.5","9","5.4"
"337","Wayne Gallman Jr.","NYG","RB","48.2","10","4.8"
"338","Jaron Brown","SEA","WR","48.0","14","3.4"
"338","Matt Bryant","ATL","K","48.0","8","6.0"
"340","Charles Clay","ARI","TE","47.7","15","3.2"
"341","Tavon Austin","DAL","WR","47.4","14","3.4"
"342","Jeff Wilson Jr.","SF","RB","46.9","11","4.3"
"343","Bennie Fowler III","NYG","WR","46.3","8","5.8"
"344","KeeSean Johnson","ARI","WR","46.0","10","4.6"
"345","Jakeem Grant Sr.","MIA","WR","45.9","10","4.6"
"346","Chester Rogers","IND","WR","45.7","12","3.8"
"347","Malik Turner","SEA","WR","45.5","15","3.0"
"348","Bo Scarbrough","DET","RB","43.2","6","7.2"
"349","Justin Watson","TB","WR","42.9","16","2.7"
"350","Javon Wims","CHI","WR","42.6","16","2.7"
"351","Matt Moore","KC","QB","42.3","6","7.1"
"352","Mark Walton","MIA","RB","42.0","7","6.0"
"353","James O'Shaughnessy","JAC","TE","41.3","5","8.3"
"354","Maxx Williams","ARI","TE","41.2","16","2.6"
"355","Rhett Ellison","NYG","TE","40.7","10","4.1"
"356","Scotty Miller","TB","WR","40.6","10","4.1"
"357","Anthony Firkser","TEN","TE","40.4","15","2.7"
"358","Jonathan Williams","IND","RB","40.4","9","4.5"
"359","Jake Kumerow","GB","WR","39.9","14","2.9"
"360","Marvin Hall","DET","WR","39.8","9","4.4"
"361","Nick Foles","JAC","QB","39.7","4","9.9"
"362","N'Keal Harry","NE","WR","39.4","7","5.6"
"363","Ameer Abdullah","MIN","RB","39.3","16","2.5"
"363","Logan Thomas","DET","TE","39.3","16","2.5"
"365","Justin Hardy","ATL","WR","38.5","16","2.4"
"366","Dontrell Hilliard","CLE","RB","38.1","14","2.7"
"366","Marquise Goodwin","SF","WR","38.1","9","4.2"
"366","Parris Campbell","IND","WR","38.1","7","5.4"
"369","Damion Ratley","CLE","WR","38.0","13","2.9"
"370","Tim Patrick","DEN","WR","37.8","8","4.7"
"371","C.J. Ham","MIN","RB","37.6","16","2.4"
"372","DeSean Jackson","PHI","WR","36.9","3","12.3"
"373","Marcedes Lewis","GB","TE","36.6","16","2.3"
"374","Ito Smith","ATL","RB","36.3","7","5.2"
"375","Ross Dwelley","SF","TE","36.1","16","2.3"
"376","Ty Long","LAC","K","36.0","16","2.3"
"377","Cordarrelle Patterson","CHI","RB","35.6","16","2.2"
"377","Ian Thomas","CAR","TE","35.6","16","2.2"
"379","Andy Isabella","ARI","WR","35.4","15","2.4"
"380","Byron Pringle","KC","WR","35.0","16","2.2"
"381","Duke Williams","BUF","WR","34.6","4","8.7"
"382","Dante Pettis","SF","WR","34.5","11","3.1"
"382","Brandon Allen","DEN","QB","34.5","3","11.5"
"384","Benjamin Watson","NE","TE","34.3","10","3.4"
"385","Matt Schaub","ATL","QB","33.9","7","4.8"
"386","Nick Vannett","Multi","TE","33.6","16","2.1"
"387","Laquon Treadwell","MIN","WR","33.4","14","2.4"
"388","Bilal Powell","NYJ","RB","33.2","14","2.4"
"389","J.J. Arcega-Whiteside","PHI","WR","32.9","16","2.1"
"390","Dan Arnold","Multi","TE","32.7","6","5.5"
"391","Derek Carrier","LV","TE","32.5","16","2.0"
"392","Ty Montgomery","NYJ","RB","32.3","16","2.0"
"393","Matt LaCosse","NE","TE","32.1","12","2.7"
"394","Darwin Thompson","KC","RB","32.1","12","2.7"
"395","Myles Gaskin","MIA","RB","31.4","7","4.5"
"396","Jeff Heuerman","DEN","TE","31.4","14","2.2"
"397","Justin Jackson","LAC","RB","31.2","7","4.5"
"398","Qadree Ollison","ATL","RB","30.7","8","3.8"
"399","Jesse James","DET","TE","30.2","16","1.9"
"400","Dontrelle Inman","Multi","WR","30.1","7","4.3"
"401","Stephen Gostkowski","NE","K","30.0","4","7.5"
"401","Mike Nugent","NE","K","30.0","5","6.0"
"403","Nick O'Leary","Multi","TE","29.9","12","2.5"
"404","Jaeden Graham","ATL","TE","29.9","16","1.9"
"405","T.J. Yeldon","BUF","RB","29.7","6","5.0"
"406","Kalif Raymond","TEN","WR","29.5","8","3.7"
"407","Reggie Bonnafon","CAR","RB","29.3","16","1.8"
"408","C.J. Prosise","SEA","RB","28.8","9","3.2"
"409","Trevor Davis","Multi","WR","28.4","14","2.0"
"410","Vernon Davis","WAS","TE","28.3","4","7.1"
"411","Travis Homer","SEA","RB","28.0","16","1.8"
"411","Cairo Santos","TEN","K","28.0","5","5.6"
"411","Chase Daniel","CHI","QB","28.0","5","5.6"
"414","Ryan Succop","TEN","K","27.0","7","3.9"
"415","Ryan Finley","CIN","QB","26.7","3","8.9"
"416","Richie James Jr.","SF","WR","26.4","16","1.7"
"417","Seth DeValve","JAC","TE","26.0","12","2.2"
"418","Robert Tonyan","GB","TE","26.0","11","2.4"
"419","DeAndre Carter","HOU","WR","25.2","16","1.6"
"420","Brian Hoyer","IND","QB","25.1","5","5.0"
"421","Andrew Beck","DEN","TE","24.5","16","1.5"
"422","Keelan Doss","Multi","WR","24.3","8","3.0"
"422","Hale Hentges","Multi","TE","24.3","11","2.2"
"424","Joshua Perkins","PHI","TE","23.7","5","4.7"
"425","Wendell Smallwood","WAS","RB","23.5","15","1.6"
"426","Ryan Izzo","NE","TE","23.4","6","3.9"
"427","Josh Rosen","MIA","QB","23.0","6","3.8"
"428","Virgil Green","LAC","TE","22.8","15","1.5"
"429","Mack Hollins","Multi","WR","22.5","16","1.4"
"430","Trey Burton","CHI","TE","22.4","9","2.5"
"431","Darrell Henderson Jr.","LAR","RB","22.4","13","1.7"
"432","Devin Smith","DAL","WR","22.3","4","5.6"
"433","Deon Cain","Multi","WR","21.4","13","1.7"
"434","MyCole Pruitt","TEN","TE","21.0","16","1.3"
"435","Jesper Horsted","CHI","TE","20.7","6","3.5"
"436","Olamide Zaccheaus","ATL","WR","20.5","10","2.1"
"437","Daniel Brown","NYJ","TE","20.2","16","1.3"
"438","Christian Blake","ATL","WR","20.1","9","2.2"
"439","Trey Edmunds","PIT","RB","20.0","12","1.7"
"440","Geoff Swaim","JAC","TE","19.5","6","3.3"
"441","Tommy Sweeney","BUF","TE","19.4","6","3.2"
"442","Tyler Kroft","BUF","TE","19.1","12","1.6"
"443","Patrick Ricard","BAL","RB","18.7","16","1.2"
"444","Brandon Zylstra","CAR","WR","18.6","8","2.3"
"445","Alec Ingold","LV","RB","18.1","16","1.1"
"446","Cody Parkey","TEN","K","18.0","4","4.5"
"446","Robert Griffin III","BAL","QB","18.0","7","2.6"
"448","Ben Braunecker","CHI","TE","17.9","11","1.6"
"449","AJ McCarron","HOU","QB","17.9","3","6.0"
"450","Cam Newton","CAR","QB","17.7","2","8.9"
"451","Mo Alie-Cox","IND","TE","17.3","16","1.1"
"452","Damion Willis","CIN","WR","17.2","10","1.7"
"453","Danny Vitale","GB","RB","17.0","15","1.1"
"453","Darren Sproles","PHI","RB","17.0","6","2.8"
"455","Antonio Callaway","CLE","WR","16.9","5","3.4"
"456","Adam Shaheen","CHI","TE","16.4","8","2.1"
"457","Wes Hills","DET","RB","16.2","1","16.2"
"458","Antonio Brown","NE","WR","16.1","1","16.1"
"459","Stephen Carlson","CLE","TE","16.1","9","1.8"
"459","J.P. Holtz","Multi","TE","16.1","15","1.1"
"461","Luke Willson","SEA","TE","15.9","9","1.8"
"462","Troy Fumagalli","DEN","TE","15.8","11","1.4"
"463","Braxton Berrios","NYJ","WR","15.5","16","1.0"
"463","Rashard Higgins","CLE","WR","15.5","10","1.6"
"463","Deonte Harty","NO","WR","15.5","14","1.1"
"466","Andy Janovich","DEN","RB","15.3","8","1.9"
"467","D'Ernest Johnson","CLE","RB","15.2","16","1.0"
"468","Kenjon Barner","ATL","RB","15.1","14","1.1"
"469","David Njoku","CLE","TE","15.1","4","3.8"
"470","Chris Hogan","CAR","WR","14.7","7","2.1"
"471","Blake Bell","KC","TE","14.7","15","1.0"
"472","Marcell Ateman","LV","WR","14.6","12","1.2"
"473","Kerrith Whyte Jr.","Multi","RB","14.1","6","2.4"
"474","Tyler Conklin","MIN","TE","13.8","16","0.9"
